i,we,thou,you,ye,he,she,it,they
me,us,thee,you,you,him,her,it,them
my,our,thy,your,your,his,her,its,their
mine,ours,thine,yours,yours,his,hers,,theirs
myself,ourselves,thyself,yourself,yourselves,himself,herself,itself,themselves
